,text,sentence,start_token,end_token,mention_type,label,grounding_id
133,spread of the virus,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",22,26,TextBoundMention,Phrase,"(Aphalangy of the hands, hp:0005886, 0.80), (Pseudoepiphyses of the middle phalanges of the hand, hp:0010264, 0.78), (Abnormality of the curvature of the cornea, hp:0100691, 0.77), (Radial deviation of the hand or of fingers of the hand, hp:0009485, 0.77), (Fragmentation of the epiphyses of the middle phalanges of the hand, hp:0010261, 0.76)"
134,stringent social distancing practice,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",47,51,TextBoundMention,Phrase,
135,USA,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",36,37,TextBoundMention,Phrase,"(USA, vo:0010633, 1.00)"
136,ﬁ,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",18,19,TextBoundMention,Phrase,
137,COVID-induced mortality,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",29,31,TextBoundMention,Phrase,
138,absence,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",41,42,TextBoundMention,Phrase,"(LACK, vo:0011260, 0.76)"
139,face coverings,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",14,16,TextBoundMention,Phrase,
140,general,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",38,39,TextBoundMention,Phrase,"(general symptom, symp:0000567, 0.80), (general ecto-epithelial cell, cl:0002159, 0.78)"
141,different states,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",32,34,TextBoundMention,Phrase,
142,community lockdown measures,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",43,46,TextBoundMention,Phrase,
143,effective,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",9,10,TextBoundMention,Phrase,"(effective, vo:0000805, 1.00), (efficient, pato:0001678, 0.78)"
144,comprehensive usage,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",11,13,TextBoundMention,Phrase,
145,study,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",2,3,TextBoundMention,Phrase,"(study design, obi:0500000, 0.83)"
146,1,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",9,10,TextBoundMention,Phrase,"(zygodactyly 1, doid:0111820, 1.00), (omodysplasia 1, doid:0080844, 1.00), (fibrochondrogenesis 1, doid:0080672, 1.00), (hyperalphalipoproteinemia 1, doid:0111369, 0.89), (omodysplasia 2, doid:0080845, 0.86)"
147,impact of different non-pharmaceutical intervention strategies on COVID-19 mortality,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",13,22,TextBoundMention,Phrase,"(belief in likelihood of causal connection between medical intervention and adverse event, oae:0000997, 0.76)"
148,agentbased model,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",25,27,TextBoundMention,Phrase,
149,early contribution,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",2,4,TextBoundMention,Phrase,
150,developing,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",23,24,TextBoundMention,Phrase,
151,making,"Importantly , mathematical analysis always plays a notable role in making vital public health decisions , resource allocation and implementation of social distancing mea - sures and other non-pharmaceutical interventions .",10,11,TextBoundMention,VerbPhrase,
152,plays,"Importantly , mathematical analysis always plays a notable role in making vital public health decisions , resource allocation and implementation of social distancing mea - sures and other non-pharmaceutical interventions .",5,6,TextBoundMention,VerbPhrase,
153,have,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,2,3,TextBoundMention,VerbPhrase,
154,launched,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,5,6,TextBoundMention,VerbPhrase,
155,been,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,4,5,TextBoundMention,VerbPhrase,
156,surges,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,11,12,TextBoundMention,VerbPhrase,
157,Nabi,"On the other hand , Nabi [ 6 ] projected the future dynamics of COVID-19 for various COVID-19 hotspots by proposing a compartmental mathematical model and concluded that early relaxation of lockdown measures and social distancing could bring a second wave in no time .",5,6,TextBoundMention,Identifier,
158,limiting,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",21,22,TextBoundMention,VerbPhrase,
159,working,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",12,13,TextBoundMention,VerbPhrase,
160,are,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",11,12,TextBoundMention,VerbPhrase,
161,done,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",17,18,TextBoundMention,VerbPhrase,
